Type,Status,Description,Pull request number,Details
Added,null,Added support for resolving dynamic links to source files in Markdown documents,1590,
Added,null,You can now specify sidebar item priorities by adding a numeric prefix to documentation page source file names,1709,
Added,null,Added a new `\Hyde\Framework\Exceptions\ParseException` exception class to handle parsing exceptions in data collection files,1732,
Added,null,Added a new `\Hyde\Framework\Exceptions\InvalidConfigurationException` exception class to handle invalid configuration exceptions,1799,
Added,null,Added support for setting custom navigation items in the YAML configuration,1818,
Added,null,Added support for setting extra attributes for navigation items,1824,
Added,null,Introduced a new navigation config builder class to simplify navigation configuration,1827,
Added,null,"Added support for setting `booting()` and `booted()` callbacks in `HydeExtension` classes, allowing extension developers to hook into the kernel boot process more easily",1847,
Added,null,You can now add custom posts to the blog post feed component when including it directly,1893,
Added,null,Added a `Feature::fromName()` enum helper,1895,
Added,null,Added support for specifying features in the YAML configuration,1896,
Added,null,Added environment variable support for saving previews,1996,
Added,null,Added support for setting the blog post publishing date as a prefix in the source file name,2000,
Added,null,Added Vite as a build tool,2010,
Added,null,Added a Vite HMR support for the realtime compiler,2016,
Added,null,Added Vite facade,2016,
Added,null,Added a custom Blade-based heading renderer for Markdown conversions,2047,
Added,null,The `publish:views` command is now interactive on Unix-like systems,2062,
Added,null,Added support for PHP 8.4,2141,
Added,null,Added a new Hyde Vite plugin,2160,
Added,null,"Added a new simplified blog post image front matter schema using a new ""caption"" field",2175,
Added,null,Added a new `\Hyde\Framework\Actions\PreBuildTasks\TransferMediaAssets` build task to handle media assets transfers for site builds.,1536,
Added,null,"The `\Hyde\Facades\Features` class is no longer marked as internal, and is now thus part of the public API.",1647,
Added,null,Added new `npm run build` command for compiling frontend assets with Vite,2010,
Changed,Minor,The documentation article component now supports disabling the semantic rendering using a falsy value,1566,
Changed,Minor,Navigation menu items are now no longer filtered by duplicates (meaning two items with the same label can now exist in the same menu),1573,
Changed,Minor,Changed the default build task message to make it more concise,1659,
Changed,null,Calling the `Include::path()` method will no longer create the includes directory,1707,
Changed,Minor,Data collection files are now validated for syntax errors during discovery,1732,
Changed,null,Calling the `DataCollection` methods will no longer create the data collections directory,1732,
Changed,null,"Markdown includes are now converted to HTML using the custom HydePHP Markdown service, meaning they now support full GFM spec and custom Hyde features like colored blockquotes and code block filepath labels",1738,
Changed,null,Markdown returned from includes are now trimmed of trailing whitespace and newlines,1738,
